id_sensor,timestamp,temperatura,humedad,pm25
EST-006,2026-03-02 14:00,20.2,60.4,12.5
EST-006,2026-03-02 15:00,20.1,65.1,13.2
EST-006,2026-03-02 16:00,17.3,66.2,12.9
EST-006,2026-03-02 17:00,16.8,68.1,35.7
EST-006,2026-03-02 18:00,15.9,69.0,36.0
EST-006,2026-03-02 19:00,14.0,73.4,35.8
EST-006,2026-03-02 20:00,15.0,75.4,13.3
EST-006,2026-03-02 21:00,13.4,80.0,14.9
EST-006,2026-03-02 22:00,12.7,82.1,12.9
EST-006,2026-03-02 23:00,11.0,79.6,14.1
EST-007,2026-03-02 00:00,11.8,80.1,11.6
EST-007,2026-03-02 01:00,11.0,82.0,11.9
EST-007,2026-03-02 04:00,9.9,80.2,10.8
EST-007,2026-03-02 05:00,10.0,84.4,13.1
EST-007,2026-03-02 06:00,12.6,82.2,31.7
EST-007,2026-03-02 07:00,13.3,75.0,28.9
EST-007,2026-03-02 08:00,13.1,73.0,32.9
EST-007,2026-03-02 09:00,15.9,69.5,10.4
EST-007,2026-03-02 10:00,15.6,70.6,12.0
EST-007,2026-03-02 11:00,16.3,67.0,11.6
EST-007,2026-03-02 12:00,18.8,62.6,10.5
EST-007,2026-03-02 13:00,19.0,63.8,16.4
EST-007,2026-03-02 14:00,19.6,61.3,13.8
EST-007,2026-03-02 15:00,19.5,62.6,12.4
EST-007,2026-03-02 16:00,18.3,65.2,8.2
EST-007,2026-03-02 17:00,18.0,69.2,32.2
EST-007,2026-03-02 18:00,15.5,67.5,29.7
EST-007,2026-03-02 19:00,15.5,71.9,37.8
EST-007,2026-03-02 20:00,13.2,76.6,12.4
EST-007,2026-03-02 21:00,12.7,75.2,9.7
EST-007,2026-03-02 22:00,11.9,80.1,8.7
EST-007,2026-03-02 23:00,10.9,83.8,11.9
EST-008,2026-03-02 00:00,10.4,81.5,12.3
EST-008,2026-03-02 01:00,10.5,81.1,12.9
EST-008,2026-03-02 02:00,11.9,84.5,10.1
EST-008,2026-03-02 03:00,12.2,80.4,8.6
EST-008,2026-03-02 04:00,11.5,84.5,11.4
EST-008,2026-03-02 05:00,10.7,80.1,12.0
EST-008,2026-03-02 06:00,11.4,82.5,30.3
EST-008,2026-03-02 07:00,-999,76.2,31.1
EST-008,2026-03-02 08:00,13.7,74.3,30.5
EST-008,2026-03-02 09:00,14.1,73.5,11.0
EST-008,2026-03-02 10:00,16.4,69.9,14.8
EST-008,2026-03-02 11:00,17.9,66.6,12.3
EST-008,2026-03-02 12:00,19.1,62.5,9.7
EST-008,2026-03-02 13:00,19.3,60.3,11.1
EST-008,2026-03-02 14:00,20.9,59.0,12.1
EST-008,2026-03-02 15:00,18.1,64.9,10.0
EST-008,2026-03-02 16:00,16.9,64.1,11.3
EST-008,2026-03-02 17:00,17.2,65.6,34.7
EST-008,2026-03-02 18:00,16.2,72.6,34.4
EST-008,2026-03-02 19:00,15.5,70.7,35.9
EST-008,2026-03-02 20:00,13.9,74.2,14.4
EST-008,2026-03-02 21:00,13.9,78.4,10.5
EST-008,2026-03-02 22:00,12.4,80.4,12.9
EST-008,2026-03-02 23:00,11.2,84.3,11.6
EST-009,2026-03-02 00:00,10.0,79.7,11.6
EST-009,2026-03-02 01:00,10.6,83.8,12.4
EST-009,2026-03-02 02:00,10.5,79.4,10.8
EST-009,2026-03-02 03:00,9.9,84.2,-10.1
EST-009,2026-03-02 04:00,12.1,80.2,14.6
EST-009,2026-03-02 05:00,-999,81.7,13.5
EST-009,2026-03-02 06:00,12.5,80.4,30.5
EST-009,2026-03-02 07:00,12.0,77.7,27.9
EST-009,2026-03-02 08:00,13.1,72.5,29.7
EST-009,2026-03-02 09:00,14.6,71.6,12.4
EST-009,2026-03-02 10:00,15.6,70.9,15.8
EST-009,2026-03-02 11:00,15.8,68.6,10.2
EST-009,2026-03-02 12:00,18.3,62.1,13.5
EST-009,2026-03-02 13:00,19.2,61.2,13.3
EST-009,2026-03-02 14:00,19.6,60.9,16.2
EST-009,2026-03-02 15:00,17.8,64.2,8.4
EST-009,2026-03-02 16:00,18.8,63.8,11.2
EST-009,2026-03-02 17:00,16.8,68.3,30.3
EST-009,2026-03-02 18:00,15.0,68.0,37.0
EST-009,2026-03-02 19:00,14.0,70.0,33.8
EST-009,2026-03-02 20:00,13.6,76.1,10.7
EST-009,2026-03-02 21:00,13.7,77.6,8.6
EST-009,2026-03-02 22:00,13.1,81.9,13.0
EST-009,2026-03-02 23:00,11.2,83.3,10.9
EST-002,2026-03-02 15:00,18.8,61.6,9.2
